Month,Cash,Accounts_Receivable,Equipment,Total_Assets,Accounts_Payable,Loans,Equity,Current_Ratio,Debt_to_Equity
January,15000,90000,500000,605000,120000,300000,185000,0.35,1.62
February,25000,85000,500000,610000,110000,300000,200000,0.42,1.50
March,20000,120000,520000,660000,140000,300000,220000,0.47,1.36
April,35000,180000,550000,765000,160000,300000,305000,0.69,0.98
May,55000,260000,580000,895000,200000,300000,395000,1.05,0.76
June,115000,420000,620000,1155000,280000,300000,575000,1.78,0.52
July,265000,700000,720000,1685000,420000,300000,965000,2.30,0.31
August,445000,950000,800000,2195000,520000,300000,1375000,2.41,0.22
September,845000,1800000,850000,3495000,750000,200000,2545000,4.13,0.08
October,1345000,1900000,850000,4095000,820000,150000,3125000,4.83,0.05
November,1865000,2100000,900000,4865000,900000,100000,3865000,5.82,0.03
December,2365000,2300000,950000,5615000,980000,0,4635000,5.84,0.00
