Month,Cash_From_Operations,Cash_From_Investing,Cash_From_Financing,Net_Cash_Flow,Cumulative_Cash,Free_Cash_Flow,OCF_to_Net_Income(%),FCF_to_Revenue(%)
January,1800000,-900000,300000,1200000,1200000,2700000,120,33
February,1700000,-850000,250000,1100000,2300000,2550000,117,32
March,2100000,-950000,400000,1550000,3850000,3050000,114,76
April,2300000,-1000000,350000,1650000,5500000,3300000,115,36
May,2000000,-1100000,300000,1200000,6700000,3100000,114,36
June,2500000,-1200000,500000,1800000,8500000,3700000,119,39
July,900000,-1800000,1200000,300000,8800000,2700000,NA,44
August,2700000,-1500000,-400000,800000,9600000,4200000,208,39
September,1100000,-1300000,200000,0,9600000,2400000,NA,32
October,2000000,-900000,300000,1400000,11000000,2900000,133,33
November,2200000,-850000,200000,1550000,12550000,3050000,119,32
December,2600000,-800000,100000,1900000,14450000,3400000,113,33
